OTU	341F-785R-P01-A01-1	341F-785R-P01-A02-11	341F-785R-P01-A03-24	341F-785R-P01-A04-42	341F-785R-P01-A05-55	341F-785R-P01-A06-73	341F-785R-P01-B01-2	341F-785R-P01-B02-12	341F-785R-P01-B03-25	341F-785R-P01-B04-43	341F-785R-P01-B05-61	341F-785R-P01-B06-74	341F-785R-P01-C01-3	341F-785R-P01-C02-13	341F-785R-P01-C03-31	341F-785R-P01-C04-44	341F-785R-P01-C05-62	341F-785R-P01-C06-75	341F-785R-P01-D01-4	341F-785R-P01-D02-14	341F-785R-P01-D03-32	341F-785R-P01-D04-45	341F-785R-P01-D05-63	341F-785R-P01-D06-81	341F-785R-P01-E01-5	341F-785R-P01-E02-15	341F-785R-P01-E03-33	341F-785R-P01-E04-51	341F-785R-P01-E05-64	341F-785R-P01-E06-82	341F-785R-P01-F01-6	341F-785R-P01-F02-21	341F-785R-P01-F03-34	341F-785R-P01-F04-52	341F-785R-P01-F05-65	341F-785R-P01-G01-7	341F-785R-P01-G02-22	341F-785R-P01-G03-35	341F-785R-P01-G04-53	341F-785R-P01-G05-71	341F-785R-P01-H01-8	341F-785R-P01-H02-23	341F-785R-P01-H03-41	341F-785R-P01-H04-54	341F-785R-P01-H05-72
OTU.offTarget.0.1	0	0	0	0	1	0	0	0	0	27	1	0	1	0	1	66	0	0	92	0	0	48	5	279	0	0	0	0	0	0	0	0	0	1	0	0	0	0	18	1	0	0	577	18	0
OTU.offTarget.0.2	0	0	0	1	1	2	0	0	0	42	0	0	0	0	0	76	0	0	76	0	0	31	5	250	0	0	0	1	0	0	0	0	0	0	3	0	0	0	20	0	0	0	506	21	0
OTU.offTarget.0.3	0	0	0	5	1	0	0	0	0	44	1	0	0	0	0	162	0	0	138	0	0	94	4	219	0	0	0	1	0	0	0	0	2	0	9	0	0	0	22	0	0	1	105	26	0
OTU.offTarget.0.4	0	0	0	0	0	0	0	0	0	31	0	0	0	0	0	164	1	0	101	0	0	99	10	221	0	0	0	2	2	0	0	0	0	1	11	0	0	0	31	0	0	0	114	30	0
OTU.offTarget.0.5	0	0	0	6	0	0	0	0	0	17	1	0	3	0	0	117	0	0	144	0	0	78	10	214	1	0	0	1	1	0	0	0	0	2	5	0	0	0	34	0	0	0	111	22	0
OTU.offTarget.0.6	0	0	0	4	0	0	0	0	0	28	2	0	0	0	0	115	0	0	119	0	0	72	9	200	1	0	0	2	0	0	0	0	0	3	7	0	0	0	33	0	0	0	118	33	0
OTU.offTarget.0.7	0	0	0	2	0	0	0	0	0	40	2	0	0	0	0	75	0	0	119	0	0	72	1	139	1	0	0	0	2	0	0	0	1	0	4	0	0	0	14	0	0	0	62	20	0
OTU.offTarget.0.8	0	0	0	0	0	0	0	0	0	44	1	0	1	0	1	67	0	0	82	0	1	43	5	148	1	0	0	0	0	0	0	0	1	2	1	0	0	0	26	0	0	0	80	35	0
OTU.offTarget.0.9	0	0	0	2	0	0	0	0	0	29	2	0	1	0	0	91	1	0	80	0	0	48	7	144	0	0	0	2	0	0	1	0	2	2	3	0	0	0	21	0	0	0	73	28	0
OTU.offTarget.0.10	0	0	0	2	0	0	0	0	0	24	1	0	0	0	0	55	0	0	101	0	0	50	4	123	0	0	0	1	0	0	0	0	1	0	3	0	0	0	18	0	0	0	33	29	0
OTU.offTarget.0.11	0	0	0	0	0	0	0	0	0	26	0	0	0	0	0	43	0	0	59	0	0	52	4	105	0	0	0	1	0	0	0	0	0	2	4	0	0	0	6	0	0	0	34	17	0
OTU.offTarget.0.12	0	0	0	0	0	0	0	0	0	17	4	0	0	0	0	49	0	0	37	0	0	39	3	104	0	0	0	0	0	0	0	0	1	1	2	0	0	0	11	0	0	0	40	15	0
OTU.offTarget.0.13	0	0	0	1	0	0	0	0	0	10	3	0	0	0	0	66	0	0	41	0	0	35	6	89	1	0	0	0	0	0	1	0	0	0	3	0	0	0	16	0	0	0	33	14	0
OTU.offTarget.0.14	0	0	0	1	1	0	0	0	0	10	1	0	0	0	0	44	0	0	38	0	0	43	4	83	0	0	0	0	0	0	0	0	0	0	3	1	0	2	15	0	0	0	37	22	0
OTU.offTarget.0.15	0	0	0	1	2	0	0	0	0	24	0	0	1	0	0	48	0	0	39	0	0	36	1	88	0	0	0	0	0	0	0	0	0	1	5	0	0	0	15	0	0	0	35	6	0
OTU.offTarget.0.16	0	0	0	0	1	0	0	0	0	16	0	0	0	0	0	53	0	0	45	0	0	47	2	81	0	0	0	0	0	0	0	0	0	1	2	0	0	0	8	0	0	0	30	4	0
OTU.offTarget.0.17	0	0	0	0	1	1	0	0	0	19	0	0	0	0	0	49	0	0	43	0	0	45	0	78	0	0	0	0	0	0	0	0	0	0	5	0	0	0	8	0	0	0	31	8	0
OTU.offTarget.0.18	0	0	0	0	0	0	0	0	0	17	0	0	1	0	0	42	0	0	52	0	0	32	0	95	0	0	0	0	0	0	0	0	0	0	2	0	0	0	4	0	0	0	34	6	0
OTU.offTarget.0.19	0	0	0	2	0	0	0	0	0	30	0	0	0	0	0	52	0	0	35	0	0	30	1	72	0	0	0	0	0	0	0	0	1	0	2	0	0	0	7	0	0	0	33	16	0
OTU.offTarget.0.20	0	0	0	1	0	0	0	0	0	21	0	0	0	0	0	62	0	0	40	0	0	40	3	64	0	0	0	0	0	0	0	0	0	0	1	0	0	0	5	0	0	0	17	8	0
OTU.offTarget.0.21	0	0	0	1	0	0	0	0	0	19	0	0	1	0	0	57	0	0	37	0	0	25	2	68	0	0	0	0	0	0	0	0	0	0	5	0	0	0	6	0	0	0	30	10	0
OTU.offTarget.0.22	0	0	0	0	0	1	0	0	0	21	1	0	0	0	0	38	0	0	51	0	0	24	2	42	0	0	0	0	0	0	0	0	0	1	1	0	0	0	11	0	0	0	25	10	0
OTU.offTarget.0.23	0	0	0	0	1	0	0	0	1	2	0	0	2	0	0	164	0	0	13	0	0	23	0	8	0	0	0	0	1	0	0	0	0	1	1	0	0	0	3	0	0	0	5	3	0
OTU.offTarget.0.24	0	0	0	2	1	0	0	0	0	17	0	0	0	0	0	36	0	0	41	0	0	27	0	57	0	0	0	0	0	0	0	0	0	1	2	0	0	0	6	0	0	0	19	7	0
OTU.offTarget.0.25	0	0	0	1	1	0	0	0	0	10	1	0	1	0	0	29	0	0	31	0	0	30	2	52	0	0	0	0	0	0	0	0	0	3	6	0	0	0	4	1	0	0	24	15	0
OTU.offTarget.0.26	0	0	0	1	0	0	0	0	0	12	0	0	0	0	0	37	0	0	21	0	0	24	2	62	0	0	0	0	0	0	0	0	0	1	3	0	0	0	6	0	0	0	22	8	0
OTU.offTarget.0.27	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	54	0	0	87	0	0	42	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	1	0
